product_id,mpn
663,D8GB3200SOr1b8-MG14MPN
664,D8GB3200SOr1b8-MG10MPN
665,4M9Y1AA-MB
665,4M9Y1AT-MB
666,AC8GB2666DTr1b8-MGAC916MPN
667,D8GB2666SOr1b8-MG031MPN
668,EB59-A27888
669,EB59-A4035
670,HP8GB2666DTr1b8-MG225MPN
671,AD5U480016GS
672,CT4G4SFS8266
673,LE8GB2400ECRr1b8-MG604MPN
674,EB57-A4493
675,Does Not Apply
676,EB57-A3530
677,AA579530-ATC
677,AA579530
678,EB70-B2897
679,RAM-48GDR5G0-UD-5600-MB
680,AA075845-ATC
680,AA075845
681,EB57-A4789
682,EB70-B6285
683,D16GB3200SOr1b8-DMG56MPN
684,Unknown
685,Unknown
686,EB59-A19710
687,EB59-A37004
688,EB59-A3561
689,EB70-B12809
690,Unknown
691,EB70-B13181
692,4X71D09533
693,EB57-A2263
694,Unknown
695,Unknown
696,EB59-A5729
697,EB57-A2393
698,AC8GB2666DTr1b8-MGAC954MPN
699,M392A2G40DM0-CPB
700,HX421S13IBK2
701,EB59-A29849
702,EB70-A2056
703,4 GB PC4-17000U
704,HMCG78MEBSA095N
705,EB42-A7534
706,Does Not Apply
707,KVR32S22S8/8
708,AT4G1D4D2400RS8N12V
709,T0E51AA-ATC
709,T0E51AA
710,PSD48G320081S
710,PSD432G32002S
711,M471A1K43DB1
712,F4-3600C18D-32GTZR
713,MKYF9
713,SNPMKYF9C/8G
714,EB57-A3106
715,PC4-2666V
716,Unknown
717,KF432S20IBK2/32
718,MTA8ATF1G64HZ
719,M378A1K43CB2-CTD
720,Unknown
721,HMA41GR7AFR8N-TF
722,15-105081-01
722,UCS-MR-X32G2RS-H
722,M393A4K40BB2-CTD
723,Unknown
724,4X70G88312-ATC
724,4X70G88312
725,CT16G4DFD8213
725,CT16G4DFD8213-MB
726,Unknown
727,Unknown
728,Unknown
729,LE16GB2400DT-MG057MPN
730,BT16GB3200DTr1b8-TZ23/1115MPN
731,Unknown
732,HP16GB3200DTr2b8-MG159MPN
733,AC16GB2133DT-MG259MPN
734,HP16GB3200DTr2b8-MG233MPN
735,Unknown
736,Unknown
737,BT16GB2666DTr2b8-TZ23/674MPN
738,HP16GB3200DTr2b8-MG211MPN
739,HP16GB3200DTr2b8-MG207MPN
740,Unknown
741,D8GB2400ECRr1b8-MG014MPN
742,Unknown
743,MTA8ATF1G64HZ-3G2J1
744,BT16GB2400DTr2b8-TZ23/248MPN
745,Unknown
746,EB70-B11114
747,Does Not Apply
748,M471A5244CB0
749,EB57-A2946
750,Unknown
751,D8GB2400ECRr1b8-MG010MPN
752,EB70-B5297
753,EB57-A1258
754,AC16GB2133DT-MG263MPN
755,LQ8GB2400ECr1b8-4X70P26062MPN
756,KC0T82-MIR
757,EB42-A9340
758,EB70-B6917
759,A9652456-MB
760,EB57-A4813
761,Unknown
762,Unknown
763,EB70-I1349
764,EB59-A36118
765,EB59-A32799
766,SNPCND02C/4G-ATC
766,SNPCND02C/4G
767,EB70-B8059
768,Unknown
769,EB59-A3270
770,EB57-A757
771,HQ8GB2400SOr1b8-Z9H56AAMPN
772,EB59-A1132
773,EB70-B6279
774,EB70-B6711
775,LQ8GB2133DTr1b8-03T7467MPN
776,Unknown
777,EB57-A2
778,EB70-B8052
779,EB70-B2033
780,D8GB2666SOr1b8-MG082MPN
781,BT8GB2666DTr1b8-TZ23/3234MPN
782,BT8GB2400DTr1b8-TZ23/2962MPN
783,CT8G4DFS8213
784,BT8GB2133DTr1b8-TZ23/2726MPN
785,D32GB3200SOr2b8-MG874MPN
786,P0002744-001
787,EB57-A4437
788,Unknown
789,EB70-B1004
790,SM30E51238-ATC
790,SM30E51238
791,EB57-A1125
792,EB57-A1118
793,EB57-A2636
794,AC8GB2133SO-MG220MPN
795,EB57-A2453
796,EB57-A2513
797,EB57-A2300
798,BT8GB2666SOr1b8-TZ23/3373MPN
799,EB57-A2353
800,EB57-A2956
801,EB57-A2645
802,EB57-A808
803,EB57-A1105
804,D8GB2666SOr1b8-MG047MPN
805,BT8GB3200SOr1b8-TZ23/3898MPN
806,BT8GB3200SOr1b8-TZ23/3802MPN
807,BT8GB2666SOr1b8-TZ23/3498MPN
808,BT8GB3200SOr1b8-TZ23/3901MPN
809,AT32G12D4D2133LQ4N12V
810,BLS8G4D240FSB.16FBD
811,BT8GB3200SOr1b8-TZ23/3913MPN
812,AA086413-ATC
812,AA086413
813,4X70G78061
813,4X70G78061-ATC
814,A9206671-ATC
814,A9206671
815,EB59-A3998
816,AA937595-ATC
816,AA937595
817,EB59-A2808
818,EB57-A4794
819,ATMS380918A25978X1
820,EB57-A3861
821,HP8GB3200DTr1b8-MG124MPN
822,SNPHYXPXC/8G-ATC
822,SNPHYXPXC/8G
823,EB70-B12591
824,EB57-A1389
825,EB70-B8016
826,EB57-A1234
827,01AG873-ATC
827,01AG873
828,D8GB3200SOr1b8-MG09MPN
829,CMH32GX5M2M6000Z36
830,EB57-A3014
831,AV16G5D56X
831,AV16G5D56X.S8BA
832,KMKM7M
833,FF3D532G6000HC30BDC01
833,6000MHZBLACK
834,KF560C36BBEAK2-16
835,Unknown
836,f5-6000j3038f8gh2-fx5
837,F5-6000J3038F16GX2-TZ5NR
838,FLRD516G6000HC38ABK
839,F5-6000J3038F8GH2-FX5
840,PVVR516G60C30
841,CT2K32G52C42U5
842,CMK16GX5M2B5200Z40
843,F5-6000J3636F16GX2-RS5K
844,CMK32GX5M2E6000Z36
845,FLBD58G5200HC40CBK
846,PVS32G640C32K
847,CP2K16G64C32U5B
848,CP2K16G60C36U5B
849,Unknown
850,KF560C36BBEAK2-32
851,kcp556ss8-16
852,FF3D516G6000HC38ADC01
853,FLRD516G6400HC38JJBK
854,Unknown
855,FF3D516G6000HC38JBK
856,FF3D532G7600HC36DDC01
857,Unknown
858,KF560C30BBEAK2-32
859,CMT64GX5M2B6000C40
860,CMH32GX5M2E6000C36
860,A6BNT52286LMZ
861,Unknown
862,AX5U5600C4616G-BLABRBK
863,CMH32GX5M2M6000Z36
863,AAQIT5024032SEU
864,CL36
865,CMH32GX5M2M6000Z36
866,F5-6000J3038F16GX2-TZ5NR
867,Unknown
868,Unknown
869,Unknown
870,Unknown
871,CMK32GX5M2B6400Z36
872,A32G-31R2-B
873,Unknown
874,Unknown
875,F56000J3636F16GX1FX5
876,HMCG66AGBUA084N
876,PC55600B
876,8GB DDR5 PC5-5600
877,CT2K8G48C40U5
878,HMCG78AGBSA092N
879,FF3D516G6000HC38ADC01
880,ct2k8g56c46u5
881,Unknown
882,KF552C36BWEA-32
883,Unknown
884,CMK96GX5M2E6000Z36
885,F5-6000J3636F16GX1-FX5
886,CMH32GX5M2B5200C40
887,CMH32GX5M2N6400C36
888,CL38
889,Unknown
890,F5-6000J3636F16GX2-RS5K
891,F5-6000J3038F8GH1-FX5
892,Unknown
893,F5-6000J3238G32GX2-TZ5K
894,CMK32GXM2B6200C36
895,F5-6400J3239G32GX2-TZ5RK
896,AD5U480016G-B
897,CMK16GX5M2B5200C40
898,Does not apply
899,CMH16GX5M2Y6000Z36
900,KF552C40BBK264
901,CTCED532G6000HC30DC01
902,CMG32GX5M2E6000Z36
903,f5-6000j3636f16gx1-rm5nrk
904,Unknown
905,VEB516G6030W
905,9DE00412
906,CMSX32GX5M1A4800C40
907,CT2K16G56C46S5
908,KF560C40BBA-16
909,TMXSAO1660826KKK
910,Unknown
911,CMH32GX5M2D6000C36W
912,Unknown
913,560C36BBEA-8
914,CMH32GX5M2E6000C36W
914,A70GB45000ELNT
915,PC-6400B-VA0-1211-XT
915,PC-6400B-VC0-1211-XT
916,AX5U6000C4816G-BLABRBK
917,FLBD516G6000HC38GBKT
918,KF556S40IBK2-32
919,CMH16GX5M2E6000Z36WGWL
920,Unknown
921,HMCG78AGBSA095N BA
922,PVVR532G560C36K
923,KCP556UD8-32
924,CMK64GX5M2B5200C40
925,AH5U16G52CA12NBAA
926,KF552C40BBA-16
927,FLRD516G6000HC38ABK
928,CMH32GX5M2E6000C36
929,FF7D532G6000HC38ADC01
930,KF548C38BBK2-32
931,CMH32GX5M2M6000Z36
932,HMCG78AGBEA081N
933,VEB516G6030W
934,Unknown
935,KF560C36BBE2K232
936,CMK64GX5M2B6000C30
937,AX5U6000C3016G-CLABK
938,KCP556SS8-16
939,Unknown
940,F5-6000J3036F16GX2-TZ5NRW
941,Unknown
942,FF3D532G6000HC30DC01
943,F5-6000J3238F16GX2-FX5
944,SP016GXLWU60CFSJ
945,GAVSG532GB5600C40AD
946,cp16g60c36u5b
947,CMH128GX5M2B6400C42
948,KF556C40BB-32
949,Unknown
